dteday,season,year,month,hr,holiday,day,weather_situation,casual,registered,count_cr,Kategori,periode
2011-01-02,Spring,2011,Jan,6,0,Sunday,Light_rainsnow,0,2,2,Weekend,Pagi
2011-01-02,Spring,2011,Jan,7,0,Sunday,Misty,0,1,1,Weekend,Pagi
2011-01-02,Spring,2011,Jan,8,0,Sunday,Light_rainsnow,0,8,8,Weekend,Pagi
2011-01-02,Spring,2011,Jan,9,0,Sunday,Misty,1,19,20,Weekend,Pagi
2011-01-02,Spring,2011,Jan,10,0,Sunday,Misty,7,46,53,Weekend,Pagi
2011-01-02,Spring,2011,Jan,11,0,Sunday,Misty,16,54,70,Weekend,Pagi
2011-01-02,Spring,2011,Jan,12,0,Sunday,Misty,20,73,93,Weekend,Siang
2011-01-02,Spring,2011,Jan,13,0,Sunday,Misty,11,64,75,Weekend,Siang
2011-01-02,Spring,2011,Jan,14,0,Sunday,Light_rainsnow,4,55,59,Weekend,Siang
2011-01-02,Spring,2011,Jan,15,0,Sunday,Light_rainsnow,19,55,74,Weekend,Siang
2011-01-02,Spring,2011,Jan,16,0,Sunday,Light_rainsnow,9,67,76,Weekend,Sore
2011-01-02,Spring,2011,Jan,17,0,Sunday,Clear,7,58,65,Weekend,Sore
2011-01-02,Spring,2011,Jan,18,0,Sunday,Misty,10,43,53,Weekend,Sore
2011-01-02,Spring,2011,Jan,19,0,Sunday,Clear,1,29,30,Weekend,Malam
2011-01-02,Spring,2011,Jan,20,0,Sunday,Clear,5,17,22,Weekend,Malam
2011-01-02,Spring,2011,Jan,21,0,Sunday,Clear,11,20,31,Weekend,Malam
2011-01-02,Spring,2011,Jan,22,0,Sunday,Clear,0,9,9,Weekend,Malam
2011-01-02,Spring,2011,Jan,23,0,Sunday,Clear,0,8,8,Weekend,Malam
2011-01-03,Spring,2011,Jan,0,0,Monday,Clear,0,5,5,Weekdays,Malam
2011-01-03,Spring,2011,Jan,1,0,Monday,Clear,0,2,2,Weekdays,Malam
2011-01-03,Spring,2011,Jan,4,0,Monday,Clear,0,1,1,Weekdays,Malam
2011-01-03,Spring,2011,Jan,5,0,Monday,Clear,0,3,3,Weekdays,Malam
2011-01-03,Spring,2011,Jan,6,0,Monday,Clear,0,30,30,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,7,0,Monday,Clear,1,63,64,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,8,0,Monday,Clear,1,153,154,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,9,0,Monday,Clear,7,81,88,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,10,0,Monday,Clear,11,33,44,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,11,0,Monday,Clear,10,41,51,Weekdays,Pagi
2011-01-03,Spring,2011,Jan,12,0,Monday,Clear,13,48,61,Weekdays,Siang
2011-01-03,Spring,2011,Jan,13,0,Monday,Clear,8,53,61,Weekdays,Siang
2011-01-03,Spring,2011,Jan,14,0,Monday,Clear,11,66,77,Weekdays,Siang
2011-01-03,Spring,2011,Jan,15,0,Monday,Clear,14,58,72,Weekdays,Siang
2011-01-03,Spring,2011,Jan,16,0,Monday,Clear,9,67,76,Weekdays,Sore
2011-01-03,Spring,2011,Jan,17,0,Monday,Clear,11,146,157,Weekdays,Sore
2011-01-03,Spring,2011,Jan,18,0,Monday,Clear,9,148,157,Weekdays,Sore
2011-01-03,Spring,2011,Jan,19,0,Monday,Clear,8,102,110,Weekdays,Malam
2011-01-03,Spring,2011,Jan,20,0,Monday,Clear,3,49,52,Weekdays,Malam
2011-01-03,Spring,2011,Jan,21,0,Monday,Clear,3,49,52,Weekdays,Malam
2011-01-03,Spring,2011,Jan,22,0,Monday,Clear,0,20,20,Weekdays,Malam
2011-01-03,Spring,2011,Jan,23,0,Monday,Clear,1,11,12,Weekdays,Malam
2011-01-04,Spring,2011,Jan,0,0,Tuesday,Clear,0,5,5,Weekdays,Malam
2011-01-04,Spring,2011,Jan,1,0,Tuesday,Clear,0,2,2,Weekdays,Malam
2011-01-04,Spring,2011,Jan,2,0,Tuesday,Clear,0,1,1,Weekdays,Malam
2011-01-04,Spring,2011,Jan,4,0,Tuesday,Clear,0,2,2,Weekdays,Malam
2011-01-04,Spring,2011,Jan,5,0,Tuesday,Clear,0,4,4,Weekdays,Malam
2011-01-04,Spring,2011,Jan,6,0,Tuesday,Clear,0,36,36,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,7,0,Tuesday,Clear,2,92,94,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,8,0,Tuesday,Clear,2,177,179,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,9,0,Tuesday,Clear,2,98,100,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,10,0,Tuesday,Misty,5,37,42,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,11,0,Tuesday,Clear,7,50,57,Weekdays,Pagi
2011-01-04,Spring,2011,Jan,12,0,Tuesday,Clear,12,66,78,Weekdays,Siang
2011-01-04,Spring,2011,Jan,13,0,Tuesday,Clear,18,79,97,Weekdays,Siang
2011-01-04,Spring,2011,Jan,14,0,Tuesday,Clear,9,54,63,Weekdays,Siang
2011-01-04,Spring,2011,Jan,15,0,Tuesday,Clear,17,48,65,Weekdays,Siang
2011-01-04,Spring,2011,Jan,16,0,Tuesday,Clear,15,68,83,Weekdays,Sore
2011-01-04,Spring,2011,Jan,17,0,Tuesday,Clear,10,202,212,Weekdays,Sore
2011-01-04,Spring,2011,Jan,18,0,Tuesday,Clear,3,179,182,Weekdays,Sore
2011-01-04,Spring,2011,Jan,19,0,Tuesday,Clear,2,110,112,Weekdays,Malam
2011-01-04,Spring,2011,Jan,20,0,Tuesday,Clear,1,53,54,Weekdays,Malam
2011-01-04,Spring,2011,Jan,21,0,Tuesday,Clear,0,48,48,Weekdays,Malam
2011-01-04,Spring,2011,Jan,22,0,Tuesday,Clear,1,34,35,Weekdays,Malam
2011-01-04,Spring,2011,Jan,23,0,Tuesday,Clear,2,9,11,Weekdays,Malam
2011-01-05,Spring,2011,Jan,0,0,Wednesday,Clear,0,6,6,Weekdays,Malam
2011-01-05,Spring,2011,Jan,1,0,Wednesday,Clear,0,6,6,Weekdays,Malam
2011-01-05,Spring,2011,Jan,2,0,Wednesday,Clear,0,2,2,Weekdays,Malam
2011-01-05,Spring,2011,Jan,4,0,Wednesday,Clear,0,2,2,Weekdays,Malam
2011-01-05,Spring,2011,Jan,5,0,Wednesday,Clear,0,3,3,Weekdays,Malam
2011-01-05,Spring,2011,Jan,6,0,Wednesday,Clear,0,33,33,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,7,0,Wednesday,Clear,1,87,88,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,8,0,Wednesday,Clear,3,192,195,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,9,0,Wednesday,Clear,6,109,115,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,10,0,Wednesday,Clear,4,53,57,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,11,0,Wednesday,Clear,12,34,46,Weekdays,Pagi
2011-01-05,Spring,2011,Jan,12,0,Wednesday,Clear,5,74,79,Weekdays,Siang
2011-01-05,Spring,2011,Jan,13,0,Wednesday,Clear,6,65,71,Weekdays,Siang
2011-01-05,Spring,2011,Jan,14,0,Wednesday,Clear,10,52,62,Weekdays,Siang
2011-01-05,Spring,2011,Jan,15,0,Wednesday,Clear,7,55,62,Weekdays,Siang
2011-01-05,Spring,2011,Jan,16,0,Wednesday,Clear,4,85,89,Weekdays,Sore
2011-01-05,Spring,2011,Jan,17,0,Wednesday,Clear,4,186,190,Weekdays,Sore
2011-01-05,Spring,2011,Jan,18,0,Wednesday,Clear,3,166,169,Weekdays,Sore
2011-01-05,Spring,2011,Jan,19,0,Wednesday,Clear,5,127,132,Weekdays,Malam
2011-01-05,Spring,2011,Jan,20,0,Wednesday,Clear,7,82,89,Weekdays,Malam
2011-01-05,Spring,2011,Jan,21,0,Wednesday,Clear,3,40,43,Weekdays,Malam
2011-01-05,Spring,2011,Jan,22,0,Wednesday,Clear,1,41,42,Weekdays,Malam
2011-01-05,Spring,2011,Jan,23,0,Wednesday,Clear,1,18,19,Weekdays,Malam
2011-01-06,Spring,2011,Jan,0,0,Thursday,Clear,0,11,11,Weekdays,Malam
2011-01-06,Spring,2011,Jan,1,0,Thursday,Clear,0,4,4,Weekdays,Malam
2011-01-06,Spring,2011,Jan,2,0,Thursday,Clear,0,2,2,Weekdays,Malam
2011-01-06,Spring,2011,Jan,4,0,Thursday,Misty,0,1,1,Weekdays,Malam
2011-01-06,Spring,2011,Jan,5,0,Thursday,Misty,0,4,4,Weekdays,Malam
2011-01-06,Spring,2011,Jan,6,0,Thursday,Misty,0,36,36,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,7,0,Thursday,Misty,0,95,95,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,8,0,Thursday,Clear,3,216,219,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,9,0,Thursday,Misty,6,116,122,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,10,0,Thursday,Clear,3,42,45,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,11,0,Thursday,Clear,2,57,59,Weekdays,Pagi
2011-01-06,Spring,2011,Jan,12,0,Thursday,Clear,6,78,84,Weekdays,Siang
2011-01-06,Spring,2011,Jan,13,0,Thursday,Clear,12,55,67,Weekdays,Siang
2011-01-06,Spring,2011,Jan,14,0,Thursday,Clear,11,59,70,Weekdays,Siang
2011-01-06,Spring,2011,Jan,15,0,Thursday,Clear,8,54,62,Weekdays,Siang
2011-01-06,Spring,2011,Jan,16,0,Thursday,Clear,12,74,86,Weekdays,Sore
2011-01-06,Spring,2011,Jan,17,0,Thursday,Clear,9,163,172,Weekdays,Sore
2011-01-06,Spring,2011,Jan,18,0,Thursday,Clear,5,158,163,Weekdays,Sore
2011-01-06,Spring,2011,Jan,19,0,Thursday,Clear,3,109,112,Weekdays,Malam
2011-01-06,Spring,2011,Jan,20,0,Thursday,Clear,3,66,69,Weekdays,Malam
2011-01-06,Spring,2011,Jan,21,0,Thursday,Misty,0,48,48,Weekdays,Malam
2011-01-06,Spring,2011,Jan,22,0,Thursday,Misty,1,51,52,Weekdays,Malam
2011-01-06,Spring,2011,Jan,23,0,Thursday,Misty,4,19,23,Weekdays,Malam
2011-01-07,Spring,2011,Jan,0,0,Friday,Misty,4,13,17,Weekdays,Malam
2011-01-07,Spring,2011,Jan,1,0,Friday,Misty,2,5,7,Weekdays,Malam
2011-01-07,Spring,2011,Jan,2,0,Friday,Misty,0,1,1,Weekdays,Malam
2011-01-07,Spring,2011,Jan,4,0,Friday,Misty,0,1,1,Weekdays,Malam
2011-01-07,Spring,2011,Jan,5,0,Friday,Light_rainsnow,0,5,5,Weekdays,Malam
2011-01-07,Spring,2011,Jan,6,0,Friday,Misty,8,26,34,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,7,0,Friday,Clear,8,76,84,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,8,0,Friday,Clear,20,190,210,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,9,0,Friday,Clear,9,125,134,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,10,0,Friday,Clear,16,47,63,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,11,0,Friday,Misty,19,48,67,Weekdays,Pagi
2011-01-07,Spring,2011,Jan,12,0,Friday,Misty,9,50,59,Weekdays,Siang
2011-01-07,Spring,2011,Jan,13,0,Friday,Misty,9,64,73,Weekdays,Siang
2011-01-07,Spring,2011,Jan,14,0,Friday,Misty,7,43,50,Weekdays,Siang
2011-01-07,Spring,2011,Jan,15,0,Friday,Misty,9,63,72,Weekdays,Siang
2011-01-07,Spring,2011,Jan,16,0,Friday,Misty,5,82,87,Weekdays,Sore
2011-01-07,Spring,2011,Jan,17,0,Friday,Misty,9,178,187,Weekdays,Sore
2011-01-07,Spring,2011,Jan,18,0,Friday,Clear,7,116,123,Weekdays,Sore
2011-01-07,Spring,2011,Jan,19,0,Friday,Clear,3,92,95,Weekdays,Malam
2011-01-07,Spring,2011,Jan,20,0,Friday,Clear,1,50,51,Weekdays,Malam
2011-01-07,Spring,2011,Jan,21,0,Friday,Clear,0,39,39,Weekdays,Malam
2011-01-07,Spring,2011,Jan,22,0,Friday,Misty,2,34,36,Weekdays,Malam
2011-01-07,Spring,2011,Jan,23,0,Friday,Misty,1,14,15,Weekdays,Malam
2011-01-08,Spring,2011,Jan,0,0,Saturday,Misty,1,24,25,Weekend,Malam
2011-01-08,Spring,2011,Jan,1,0,Saturday,Misty,1,15,16,Weekend,Malam
2011-01-08,Spring,2011,Jan,2,0,Saturday,Misty,3,13,16,Weekend,Malam
2011-01-08,Spring,2011,Jan,3,0,Saturday,Light_rainsnow,0,7,7,Weekend,Malam
2011-01-08,Spring,2011,Jan,4,0,Saturday,Light_rainsnow,0,1,1,Weekend,Malam
2011-01-08,Spring,2011,Jan,5,0,Saturday,Misty,0,5,5,Weekend,Malam
2011-01-08,Spring,2011,Jan,6,0,Saturday,Misty,0,2,2,Weekend,Pagi
2011-01-08,Spring,2011,Jan,7,0,Saturday,Misty,1,8,9,Weekend,Pagi
2011-01-08,Spring,2011,Jan,8,0,Saturday,Light_rainsnow,0,15,15,Weekend,Pagi
2011-01-08,Spring,2011,Jan,9,0,Saturday,Light_rainsnow,0,20,20,Weekend,Pagi
2011-01-08,Spring,2011,Jan,10,0,Saturday,Misty,5,56,61,Weekend,Pagi
2011-01-08,Spring,2011,Jan,11,0,Saturday,Misty,2,60,62,Weekend,Pagi
2011-01-08,Spring,2011,Jan,12,0,Saturday,Misty,8,90,98,Weekend,Siang
2011-01-08,Spring,2011,Jan,13,0,Saturday,Clear,7,95,102,Weekend,Siang
2011-01-08,Spring,2011,Jan,14,0,Saturday,Clear,12,83,95,Weekend,Siang
2011-01-08,Spring,2011,Jan,15,0,Saturday,Clear,5,69,74,Weekend,Siang
2011-01-08,Spring,2011,Jan,16,0,Saturday,Clear,8,68,76,Weekend,Sore
2011-01-08,Spring,2011,Jan,17,0,Saturday,Clear,5,64,69,Weekend,Sore
2011-01-08,Spring,2011,Jan,18,0,Saturday,Clear,3,52,55,Weekend,Sore
2011-01-08,Spring,2011,Jan,19,0,Saturday,Clear,4,26,30,Weekend,Malam
2011-01-08,Spring,2011,Jan,20,0,Saturday,Clear,0,28,28,Weekend,Malam
2011-01-08,Spring,2011,Jan,21,0,Saturday,Clear,2,35,37,Weekend,Malam
2011-01-08,Spring,2011,Jan,22,0,Saturday,Clear,1,33,34,Weekend,Malam
2011-01-08,Spring,2011,Jan,23,0,Saturday,Clear,0,22,22,Weekend,Malam
2011-01-09,Spring,2011,Jan,0,0,Sunday,Clear,1,24,25,Weekend,Malam
2011-01-09,Spring,2011,Jan,1,0,Sunday,Clear,0,12,12,Weekend,Malam
2011-01-09,Spring,2011,Jan,2,0,Sunday,Clear,0,11,11,Weekend,Malam
2011-01-09,Spring,2011,Jan,3,0,Sunday,Clear,0,4,4,Weekend,Malam
2011-01-09,Spring,2011,Jan,4,0,Sunday,Clear,0,1,1,Weekend,Malam
2011-01-09,Spring,2011,Jan,5,0,Sunday,Clear,0,1,1,Weekend,Malam
2011-01-09,Spring,2011,Jan,6,0,Sunday,Clear,0,1,1,Weekend,Pagi
2011-01-09,Spring,2011,Jan,7,0,Sunday,Clear,1,5,6,Weekend,Pagi
2011-01-09,Spring,2011,Jan,8,0,Sunday,Clear,0,10,10,Weekend,Pagi
2011-01-09,Spring,2011,Jan,9,0,Sunday,Clear,0,19,19,Weekend,Pagi
2011-01-09,Spring,2011,Jan,10,0,Sunday,Clear,0,49,49,Weekend,Pagi
2011-01-09,Spring,2011,Jan,11,0,Sunday,Clear,2,47,49,Weekend,Pagi
2011-01-09,Spring,2011,Jan,12,0,Sunday,Clear,4,79,83,Weekend,Siang
2011-01-09,Spring,2011,Jan,13,0,Sunday,Clear,6,69,75,Weekend,Siang
2011-01-09,Spring,2011,Jan,14,0,Sunday,Clear,8,64,72,Weekend,Siang
2011-01-09,Spring,2011,Jan,15,0,Sunday,Clear,5,77,82,Weekend,Siang
2011-01-09,Spring,2011,Jan,16,0,Sunday,Clear,13,79,92,Weekend,Sore
2011-01-09,Spring,2011,Jan,17,0,Sunday,Clear,3,59,62,Weekend,Sore
2011-01-09,Spring,2011,Jan,18,0,Sunday,Clear,4,44,48,Weekend,Sore
2011-01-09,Spring,2011,Jan,19,0,Sunday,Clear,1,40,41,Weekend,Malam
2011-01-09,Spring,2011,Jan,20,0,Sunday,Clear,0,38,38,Weekend,Malam
2011-01-09,Spring,2011,Jan,21,0,Sunday,Clear,1,19,20,Weekend,Malam
2011-01-09,Spring,2011,Jan,22,0,Sunday,Clear,5,10,15,Weekend,Malam
2011-01-09,Spring,2011,Jan,23,0,Sunday,Clear,0,6,6,Weekend,Malam
2011-01-10,Spring,2011,Jan,0,0,Monday,Clear,2,3,5,Weekdays,Malam
2011-01-10,Spring,2011,Jan,1,0,Monday,Clear,1,0,1,Weekdays,Malam
2011-01-10,Spring,2011,Jan,2,0,Monday,Clear,0,3,3,Weekdays,Malam
2011-01-10,Spring,2011,Jan,3,0,Monday,Clear,0,1,1,Weekdays,Malam
2011-01-10,Spring,2011,Jan,4,0,Monday,Clear,1,2,3,Weekdays,Malam
2011-01-10,Spring,2011,Jan,5,0,Monday,Clear,0,3,3,Weekdays,Malam
2011-01-10,Spring,2011,Jan,6,0,Monday,Clear,0,31,31,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,7,0,Monday,Clear,2,75,77,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,8,0,Monday,Misty,4,184,188,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,9,0,Monday,Misty,2,92,94,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,10,0,Monday,Misty,0,31,31,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,11,0,Monday,Misty,2,28,30,Weekdays,Pagi
2011-01-10,Spring,2011,Jan,12,0,Monday,Misty,5,47,52,Weekdays,Siang
2011-01-10,Spring,2011,Jan,13,0,Monday,Misty,4,50,54,Weekdays,Siang
2011-01-10,Spring,2011,Jan,14,0,Monday,Misty,0,47,47,Weekdays,Siang
2011-01-10,Spring,2011,Jan,15,0,Monday,Misty,2,43,45,Weekdays,Siang
2011-01-10,Spring,2011,Jan,16,0,Monday,Clear,4,70,74,Weekdays,Sore
2011-01-10,Spring,2011,Jan,17,0,Monday,Clear,4,174,178,Weekdays,Sore
2011-01-10,Spring,2011,Jan,18,0,Monday,Clear,1,154,155,Weekdays,Sore
2011-01-10,Spring,2011,Jan,19,0,Monday,Clear,3,92,95,Weekdays,Malam
2011-01-10,Spring,2011,Jan,20,0,Monday,Clear,1,73,74,Weekdays,Malam
2011-01-10,Spring,2011,Jan,21,0,Monday,Clear,1,37,38,Weekdays,Malam
2011-01-10,Spring,2011,Jan,22,0,Monday,Clear,2,22,24,Weekdays,Malam
2011-01-10,Spring,2011,Jan,23,0,Monday,Clear,0,18,18,Weekdays,Malam
2011-01-11,Spring,2011,Jan,0,0,Tuesday,Clear,2,10,12,Weekdays,Malam
2011-01-11,Spring,2011,Jan,1,0,Tuesday,Clear,0,3,3,Weekdays,Malam
2011-01-11,Spring,2011,Jan,2,0,Tuesday,Misty,0,3,3,Weekdays,Malam
2011-01-11,Spring,2011,Jan,5,0,Tuesday,Misty,0,6,6,Weekdays,Malam
2011-01-11,Spring,2011,Jan,6,0,Tuesday,Misty,0,27,27,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,7,0,Tuesday,Misty,2,97,99,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,8,0,Tuesday,Misty,3,214,217,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,9,0,Tuesday,Misty,3,127,130,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,10,0,Tuesday,Misty,3,51,54,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,11,0,Tuesday,Misty,4,31,35,Weekdays,Pagi
2011-01-11,Spring,2011,Jan,12,0,Tuesday,Misty,2,55,57,Weekdays,Siang
2011-01-11,Spring,2011,Jan,13,0,Tuesday,Misty,6,46,52,Weekdays,Siang
2011-01-11,Spring,2011,Jan,14,0,Tuesday,Misty,3,60,63,Weekdays,Siang
2011-01-11,Spring,2011,Jan,15,0,Tuesday,Misty,2,45,47,Weekdays,Siang
2011-01-11,Spring,2011,Jan,16,0,Tuesday,Misty,4,72,76,Weekdays,Sore
2011-01-11,Spring,2011,Jan,17,0,Tuesday,Misty,6,130,136,Weekdays,Sore
2011-01-11,Spring,2011,Jan,18,0,Tuesday,Light_rainsnow,1,94,95,Weekdays,Sore
2011-01-11,Spring,2011,Jan,19,0,Tuesday,Light_rainsnow,0,51,51,Weekdays,Malam
2011-01-11,Spring,2011,Jan,20,0,Tuesday,Light_rainsnow,0,32,32,Weekdays,Malam
2011-01-11,Spring,2011,Jan,21,0,Tuesday,Light_rainsnow,0,20,20,Weekdays,Malam
2011-01-11,Spring,2011,Jan,22,0,Tuesday,Light_rainsnow,1,28,29,Weekdays,Malam
2011-01-11,Spring,2011,Jan,23,0,Tuesday,Light_rainsnow,1,18,19,Weekdays,Malam
2011-01-12,Spring,2011,Jan,0,0,Wednesday,Misty,0,7,7,Weekdays,Malam
2011-01-12,Spring,2011,Jan,1,0,Wednesday,Misty,0,6,6,Weekdays,Malam
2011-01-12,Spring,2011,Jan,2,0,Wednesday,Clear,0,1,1,Weekdays,Malam
2011-01-12,Spring,2011,Jan,5,0,Wednesday,Clear,0,5,5,Weekdays,Malam
2011-01-12,Spring,2011,Jan,6,0,Wednesday,Clear,0,16,16,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,7,0,Wednesday,Clear,0,54,54,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,8,0,Wednesday,Clear,3,125,128,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,9,0,Wednesday,Clear,3,78,81,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,10,0,Wednesday,Clear,0,39,39,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,11,0,Wednesday,Clear,3,32,35,Weekdays,Pagi
2011-01-12,Spring,2011,Jan,12,0,Wednesday,Clear,3,52,55,Weekdays,Siang
2011-01-12,Spring,2011,Jan,13,0,Wednesday,Clear,0,49,49,Weekdays,Siang
2011-01-12,Spring,2011,Jan,14,0,Wednesday,Clear,0,44,44,Weekdays,Siang
2011-01-12,Spring,2011,Jan,15,0,Wednesday,Clear,1,48,49,Weekdays,Siang
2011-01-12,Spring,2011,Jan,16,0,Wednesday,Clear,5,63,68,Weekdays,Sore
2011-01-12,Spring,2011,Jan,17,0,Wednesday,Clear,0,139,139,Weekdays,Sore
2011-01-12,Spring,2011,Jan,18,0,Wednesday,Clear,2,135,137,Weekdays,Sore
2011-01-12,Spring,2011,Jan,19,0,Wednesday,Clear,1,82,83,Weekdays,Malam
2011-01-12,Spring,2011,Jan,20,0,Wednesday,Clear,2,54,56,Weekdays,Malam
2011-01-12,Spring,2011,Jan,21,0,Wednesday,Clear,0,57,57,Weekdays,Malam
2011-01-12,Spring,2011,Jan,22,0,Wednesday,Clear,1,32,33,Weekdays,Malam
2011-01-12,Spring,2011,Jan,23,0,Wednesday,Clear,1,19,20,Weekdays,Malam
2011-01-13,Spring,2011,Jan,0,0,Thursday,Clear,1,6,7,Weekdays,Malam
2011-01-13,Spring,2011,Jan,1,0,Thursday,Clear,0,2,2,Weekdays,Malam
2011-01-13,Spring,2011,Jan,2,0,Thursday,Clear,0,2,2,Weekdays,Malam
2011-01-13,Spring,2011,Jan,3,0,Thursday,Clear,0,3,3,Weekdays,Malam
2011-01-13,Spring,2011,Jan,4,0,Thursday,Clear,0,4,4,Weekdays,Malam
2011-01-13,Spring,2011,Jan,5,0,Thursday,Clear,0,3,3,Weekdays,Malam
2011-01-13,Spring,2011,Jan,6,0,Thursday,Clear,0,28,28,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,7,0,Thursday,Clear,0,72,72,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,8,0,Thursday,Clear,5,197,202,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,9,0,Thursday,Clear,2,137,139,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,10,0,Thursday,Misty,2,36,38,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,11,0,Thursday,Misty,4,33,37,Weekdays,Pagi
2011-01-13,Spring,2011,Jan,12,0,Thursday,Clear,3,49,52,Weekdays,Siang
2011-01-13,Spring,2011,Jan,13,0,Thursday,Clear,2,81,83,Weekdays,Siang
2011-01-13,Spring,2011,Jan,14,0,Thursday,Clear,3,39,42,Weekdays,Siang
2011-01-13,Spring,2011,Jan,15,0,Thursday,Clear,5,55,60,Weekdays,Siang
2011-01-13,Spring,2011,Jan,16,0,Thursday,Clear,2,76,78,Weekdays,Sore
